label,major_axis_length,minor_axis_length,area,perimeter,ratio,roundness,maj_len,min_len,min_pos,min_len05,ratio_contour,hue_mean,hue_std,hue_skew,sat_mean,sat_std,sat_skew,val_mean,val_std,val_skew,int_mean,int_std,int_skew,name,location,img_no
32,0.5502,0.3539,0.1506,1.7107,0.6432,0.6467,0.5936,0.3735,0.58,0.3529,0.6292,0.1584,0.0316,-0.3182,0.2247,0.1013,-0.3452,0.3973,0.0586,0.2057,78.7901,17.2863,0.9083,Acer pseudoplatanus,1,3
33,0.7115,0.4187,0.232,2.0427,0.5885,0.6987,0.695,0.421,0.4,0.4074,0.6058,0.1435,0.0376,13.0378,0.2236,0.1008,-0.3121,0.3761,0.0696,0.5218,74.0166,15.3776,1.3824,Acer pseudoplatanus,1,3
34,0.5192,0.3031,0.1206,1.524,0.5838,0.6525,0.5641,0.32,0.33,0.3091,0.5673,0.1542,0.0358,6.0183,0.1723,0.1008,0.4183,0.3646,0.0661,0.4652,76.9395,17.7848,1.26,Acer pseudoplatanus,1,3
35,0.5451,0.3534,0.1493,1.5561,0.6483,0.7748,0.5805,0.3798,0.51,0.376,0.6543,0.1548,0.0218,-0.0388,0.2739,0.1084,-0.6056,0.4222,0.0523,-0.2586,78.0565,15.2124,1.1624,Acer pseudoplatanus,1,3
36,0.6768,0.4087,0.2083,1.994,0.6039,0.6583,0.7175,0.4336,0.52,0.4057,0.6043,0.1401,0.027,-0.3338,0.2679,0.1189,-0.5181,0.4091,0.0551,-0.4299,76.3384,17.0398,1.3233,Acer pseudoplatanus,1,3
1,1.6744,1.1311,1.4656,5.2822,0.6755,0.6601,1.773,1.1905,0.52,1.1774,0.6715,0.0985,0.0647,3.5179,0.5923,0.3539,-0.4428,0.2207,0.1176,1.835,32.3666,37.6565,1.7307,Aesculus hippocastanum,1,1
2,1.5361,0.8569,1.0251,4.652,0.5578,0.5952,1.6346,0.897,0.53,0.8829,0.5488,0.0919,0.0816,5.873,0.5593,0.3102,-0.3616,0.1953,0.1135,0.8707,26.1116,27.0081,1.6696,Aesculus hippocastanum,1,1
3,1.4588,0.8895,1.0046,4.6806,0.6097,0.5762,1.5253,0.9099,0.35,0.8573,0.5965,0.0962,0.0696,6.156,0.5753,0.3308,-0.4577,0.2307,0.1331,1.483,33.1004,38.6595,1.8486,Aesculus hippocastanum,1,1
4,1.7089,1.0828,1.4408,5.3728,0.6336,0.6272,1.7941,1.097,0.44,1.077,0.6114,0.0947,0.0545,7.9108,0.6188,0.3389,-0.564,0.242,0.1142,1.347,30.2458,34.4314,1.8889,Aesculus hippocastanum,1,1
5,2.0163,1.1311,1.7728,6.4051,0.561,0.543,2.1816,1.2009,0.45,1.1807,0.5505,0.0883,0.0631,8.6312,0.6387,0.3198,-0.6619,0.2634,0.1264,1.649,33.7797,38.7605,1.7454,Aesculus hippocastanum,1,1
6,1.9022,1.0098,1.4767,5.5403,0.5309,0.6046,1.9826,1.0378,0.41,0.997,0.5235,0.0854,0.0543,5.9213,0.5906,0.3281,-0.4623,0.2948,0.145,1.3518,36.8514,39.4129,1.7702,Aesculus hippocastanum,1,1
7,1.3071,0.5139,0.5186,3.8145,0.3932,0.4479,1.3986,0.5606,0.4,0.5195,0.4008,0.0858,0.0493,10.3114,0.6103,0.2985,-0.5649,0.2809,0.1721,1.489,37.8137,43.5215,2.092,Aesculus hippocastanum,1,1
8,1.4938,0.8779,1.0079,4.3146,0.5877,0.6804,1.5601,0.8834,0.43,0.8585,0.5662,0.0921,0.0622,6.8843,0.6229,0.2985,-0.6619,0.2559,0.1048,0.8273,29.505,28.7803,1.4923,Aesculus hippocastanum,1,1
9,0.9305,0.5493,0.3976,2.6795,0.5903,0.6959,0.9697,0.5438,0.5,0.54,0.5608,0.0769,0.048,11.4674,0.5396,0.2657,-0.3826,0.228,0.1067,1.7855,31.4891,30.2032,2.1924,Aesculus hippocastanum,1,1
10,1.7001,1.1606,1.5355,5.3765,0.6827,0.6675,1.8,1.1743,0.48,1.1664,0.6524,0.0909,0.039,8.5181,0.6023,0.3152,-0.5061,0.2753,0.1259,2.0679,35.4012,39.5649,2.0145,Aesculus hippocastanum,1,1
1,1.6243,0.9624,1.2196,5.2702,0.5925,0.5518,1.7172,0.9962,0.52,0.9646,0.5801,0.0956,0.048,9.2532,0.6137,0.3087,-0.5942,0.3134,0.1537,1.0429,35.5086,34.0698,1.1463,Aesculus hippocastanum,1,2
2,1.3842,0.7379,0.7865,3.9567,0.5331,0.6313,1.4937,0.7586,0.51,0.7396,0.5079,0.0785,0.0388,9.6428,0.6266,0.2514,-0.9628,0.3031,0.0905,0.432,31.82,28.1983,1.58,Aesculus hippocastanum,1,2
